;Transcription_Id;Player_Name;Transcription_Text;Stage_Of_The_Game
0;0;MATT;"MATT: Hello everyone. My name is Matthew Mercer, voice actor and Dungeon Master for Critical Role on Geek & Sundry, where I take a bunch of other voice actors and run them through a fantastical fantasy adventure through the world of Dungeons & Dragons. We play every Thursday at 7:00pm Pacific Standard Time on Geek & Sundry's Twitch stream. Please come watch us live if you have the opportunity. Back episodes and future episodes will be uploaded on the Geek & Sundry website. You can also check them out there. In the meantime, enjoy!
Welcome to first episode of Critical Role, and what this basically is is a continuation of our weekly D&D game. Me and a bunch of other likely nerdy and enjoyable voice actors gathering around, rolling some dice, killing some creatures, having some adventure. Now we have the pleasure of bringing it on the stream for you to watch, enjoy, and occasionally interact with. Before we get to that, to give you a little backstory on the characters you'll be seeing this evening, we're going to play some videos for you in a second. Do note, for all you hardcore gamers out there, a lot of this is house-ruled, loosey-goosey having a good time. So all you number crunchers, stop paying attention there, just have fun with it. Nevertheless, we have some background story on many of the characters you'll be seeing this evening to help you jump into the story. Let's go ahead and enjoy those in a minute, then we'll introduce the players. So have fun!";Pre-Show
1;1;;;Pre-Show
2;2;MATT;MATT: Hey guys, welcome back. To give you a little heads up, we are playing the 5th edition of Dungeons & Dragons. We recently converted over from Pathfinder, for those who play Pathfinder. One of our players was a gunslinger, for which there are no rules for in 5th edition. So I had to create and customize those for the game, so bear with us on that. That will be an interesting ride, regardless. We do have an eight-player game we've been playing for two years, which is a little crazy, which is why we go a little loose with the rules. It's a great group, it's a lot of fun. Not everyone can make every game, so we have enough players to definitely pull a party each time.;Pre-Show
3;3;ZAC;ZAC: Just so you know, we're having an audio bottleneck. It'll take about 30 seconds to work itself out.;Pre-Show
4;4;MATT;MATT: Okay, audio bottleneck.;Pre-Show
5;5;ZAC;ZAC: Tech problems that make me want to murder someone.;Pre-Show
6;6;MATT;MATT: That's okay. Just a second. You let us know when it's okay to talk.;Pre-Show
7;7;TRAVIS;TRAVIS: I don't know what that means, a bottleneck.;Pre-Show
8;8;MATT;MATT: Are we all right? And how are we? Exterminate. Exterminate.;Pre-Show
9;9;SAM;SAM: Nice. Audio isn't working they're going to watch something else. Thanks, douche.;Pre-Show
10;10;(laughter);(laughter);Pre-Show
11;11;MATT;MATT: Is the mic adjusted? Is it any better?;Pre-Show
12;12;ZAC;ZAC: Better now. We're good.;Pre-Show
13;13;MATT;MATT: Well, great. Thank you guys. A couple of things transitioned from Pathfinder to 5th edition may be a little strange and fun. We have a lot of players, but they're great folks and most of that just means I have to work really hard to make sure the game keeps going, so that's on me. Ashley Johnson, unfortunately, cannot join us. She's our gnome cleric, Pike. She'll be here next week. Unfortunately, she's in London accepting a BAFTA, so I think we're okay. For the Last of Us. That's harsh. Also no donations this week, but going forward we will have donations available for those that will help partially run the show from our wonderful cameraman and crew. Also, half of our donations will go to the 826 charity. Marisha, if you want to talk a little about that.;Pre-Show
14;14;MARISHA;MARISHA: Yes! 826LA is a charity that focuses on tutoring children in an after-school program and helping specifically with creativity, storytelling, art and general things that relate to Dungeons & Dragons. You should definitely check out the Time Travel Mart. There is one in Echo Park and one in Mar Vista. They have this amazing storefront where you can buy these awesome tchotchkes and things that go immediately to support the charity and the stream. It's awesome. It's 826LA, you should look it up. There's a few all over the country.;Pre-Show
15;15;MATT;MATT: Yes. Also, as a heads up because I saw some of you guys ask me in the chatroom: These videos will be available on the Geek & Sundry YouTube Channel soon enough, as well as a more extensive backstory of the party. We'll have all that content ready for you so you don't have to memorize it. Maybe a bio page, I don't know. We'll figure something out. It'll be fine. Anyway, let's open that up. You know who I am. Matthew Mercer, voice actor and I've been running this game for two years. I'm a hardcore nerd. Let's go around the table and introduce our players so you can attach the faces to the intros you just saw. Let's start on this side with Travis.;Pre-Show
16;16;TRAVIS;TRAVIS: Oh! Hi. I'm Travis Willingham, voice actor, gamer. I play Grog the goliath barbarian.;Pre-Show
17;17;LAURA;LAURA: Hi. I'm Laura Bailey. I'm also, you know, a voice actor like everyone here.;Pre-Show
18;18;TRAVIS;TRAVIS: Yeah. I think we all are.;Pre-Show
19;19;LAURA;LAURA: I'm playing Vex'ahlia. The coolest chick ever.;Pre-Show
20;20;MATT;MATT: The ranger with the bear.;Pre-Show
21;21;LAURA;LAURA: The ranger with the bear named Trinket, in case you didn't catch that. His name is Trinket and he's amazing.;Pre-Show
