;Player_Name;Transcription_Text
0;MATT;Hello, everyone, and welcome to our special one shot of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons.
1;MATT;(cheering)
2;MARISHA;And get married.
3;MATT;And yeah.
4;LAURA;And get married!
5;MATT;Yeah that-- that is exactly what's happening.
6;LAURA;Mawage!
7;LAURA;Wait, what?
8;MATT;This was part of our Kickstarter.
9;MATT;You guys generously donated towards the Legend of Vox Machina animated series, and as one of our stretch goals was to go ahead and bring Vox Machina together for another one-shot.
10;MATT;This one in particular involves the wedding of Percival and Vex'ahlia.
11;MATT;So we'll go ahead and dive in here in a minute.
12;ASHLEY;Oh my god.
13;MATT;We all dressed up a little nice for the evening's occasion.
14;MATT;Got some new decor in the space for it, which is pretty fun.
15;SAM;Travis did not change his normal street clothes.
16;MATT;No, well, he didn't get the memo, unfortunately.
17;LIAM;Normally, he puts on the t-shirt and jeans for the show, but today he was just in too much of a hurry, so he left his regular.
18;TRAVIS;My dances are five dollars for the first hour.
19;TRAVIS;(laughter)
20;ASHLEY;That's pretty cheap.
21;LAURA;That's pretty affordable.
22;MATT;I'll chip in when the episode's over tonight.
23;LIAM;Go to our shop now.
24;MATT;So let's go ahead and dive in to tonight's episode of Critical Role.
25;MATT;(excited noises) Welcome back.
26;MATT;(laughter) So last we left off, Vox Machina, heroes of Emon, and Exandria at large, had managed to seal Vecna, the newly-ascended god, beyond the Divine Gate with losses of friends and loved ones, but protected the lives of many, many more and generations to come.
27;MATT;They then lost their friend, Grog, his soul jettisoned to the land of Pandemonium.
28;MATT;Following suit, they chased down the location of his spirit, freed him from his prison, and then fought their way back, seeking the githzerai entity known as Bob, as so given by the team here.
29;MATT;You managed to find yourself back to Exandria, whole, together, and that was that.
30;MATT;History carried on.
31;MATT;Yet, here we are about a year later.
32;MATT;In this time, many of you have found new epilogues to yourselves, begun to build a life outside of the adventurers-type existence that involves bringing Whitestone to the beginnings of its new heights.
33;MATT;That involves reconnecting with one's daughter.
34;MATT;That involves gathering the people under the banner of their new proven leader.
35;MATT;That involves kindling a relationship long pursued and teased.
36;MATT;That involves finding new ways to get drunk and beat the face of those that dare step on and call you a name.
37;TRAVIS;Promise?
38;MATT;And that involves, actually, the birth of a new child.
39;MATT;Vex'ahlia and Percival, if you'd like to talk a little bit about what you've been up to this past year.
40;LAURA;Oh.
41;TALIESIN;Quite a bit.
42;LAURA;Yes.
43;LAURA;(laughter)
44;TALIESIN;Welcome back, hi.
45;LAURA;Yes, hi.
46;LAURA;Well, we had a kid.
47;TALIESIN;We did.
48;LAURA;She's super cute.
49;TALIESIN;She's adorable.
50;LAURA;Yeah, wonderful.
51;SAM;What's her name?
52;TALIESIN;Do you want to?
53;LAURA;Oh no, it's all you.
