;Player_Name;Transcription_Text
0;BRIAN;Well-- (laughs) Well-- Christoper, Christopher, Christopher!
1;BRIAN;Well, hell.
2;BRIAN;Hello, Texas.
3;BRIAN;Welcome to Critical Role Live.
4;BRIAN;Holy shit, this is too many people, and I am wearing single layer Depends.
5;AUDIENCE MEMBER;Happy Birthday, Brian!
6;BRIAN;Thank you very much, thank you so much, thank you.
7;BRIAN;Ah, you guys are too nice.
8;BRIAN;You guys are too nice.
9;BRIAN;It's wonderful to be in the birthplace of such legends as Lincoln spokesperson, Matthew McConaughey.
10;BRIAN;[cheering] Fashion icon and rapper, Nelly.
11;BRIAN;[cheering] And role model and multi Tour De France winner, Lance Armstrong.
12;BRIAN;[laughter] The big-- doesn't this outfit look like a Guns n' Roses tattoo, by the way?
13;BRIAN;[laughter] I feel like that yodeling kid from Walmart if 30 years later and his parents had stolen all his money and fled to Fiji and this is where he ended up.
14;BRIAN;Some people know what I'm talking about.
15;BRIAN;[laughter] Hey, speaking of-- Hey, kid, if you're watching, by the way, don't do drugs, man, this is what happens.
16;BRIAN;[laughter] And don't borrow too much money from people.
17;BRIAN;Speaking of borrowing money from people, it's my birthday, as this person was so nice to-- [cheering] Thank you, thank you, thank you.
18;BRIAN;I look out, I see tons of people holding stacks of cash ready to throw at me.
19;BRIAN;Please don't.
20;BRIAN;Instead for my birthday, in honor of my birthday, I would urge you to please make a donation to OSD.
21;BRIAN;[cheering] Who is supporting military veterans, active duty and veterans.
22;BRIAN;So far we've helped over 700 veterans with the money you guys have given, so-- [cheering] We were hanging out earlier with Glen, the CEO and just hearing stories and everything.
23;BRIAN;Travis and I both come from military families and what they're doing is remarkable.
24;BRIAN;This country does a shitty job of taking care of people that fucking serve it so it's up to us to take care of them and-- [applause] So please, for my birthday, go to critrole.com.
25;BRIAN;[cheering] Slash.
26;BRIAN;OSD and donate.
27;BRIAN;You guys, this is a good crowd, you guys, I hope you have your shit together.
28;BRIAN;I hope you have your shit together.
29;BRIAN;(laughs) All right, all right, all right, all right, all right.
30;BRIAN;Onto the bad cop stuff.
