;Player_Name;Transcription_Text
0;MATT;Welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons and Dragons. We have an Ashley Johnson in transit from the airport, fresh from her vacation. She'll be here asap.
1;MARISHA;I wonder if she'll be nice and tanned.
2;TRAVIS;(burps) Probably not.
3;SAM;That's too specific. Too specific, she might have gone to a place that wasn't a tannable place.
4;MARISHA;Oh, that's true. That's true.
5;SAM;Too specific.
6;TALIESIN;Could have been tundra. Could have been tundra.
7;MATT;This is true. Should be the tundra. Sounds like a great place to spend--
8;LIAM;She could have gone skiing and just gotten a sunburn here, like this.
9;MATT;That's true. That's true. Anyway, so Ashley will be joining us as soon as she arrives. Coming in hot! In the meantime, let's go ahead and cruise through our announcements. Let's see. Do we have any updates on merch at all, Laura?
10;LAURA;Yeah!
11;MATT;What do you got?
12;LAURA;Okay. So we put our dice up for pre-order and they're already sold out in pre-order.
13;MATT;What?
14;LAURA;But we're going to get more. I don't know when, but soon, very soon.
15;TRAVIS;We're struggling to keep up.
16;LAURA;Yeah. We have these still in stock though.|Some of these are still left, which are awesome, and they're so soft. And we have all the other t-shirts as well, except for the 'dagger, dagger, dagger' that Matt's wearing. Maybe we'll be getting those back in. I'm not sure. But all the other stuff. The nail wraps, and the vinyl stickers, and the hats.
17;MATT;I still remember when we printed ourselves a hundred shirts on this show, hoping that maybe some people will buy some.
18;LAURA;I mean, do you remember the party that we had when we all put them in the envel-- sorry, baby.|(laughter)
19;LIAM;How many dice are you able to build a night?
20;LAURA;Oh. I hand-carve like ten to 20 depending how much time I have but--
21;TRAVIS;(whip crack)
22;LIAM;I mean, that's what the wait is for.
23;TALIESIN;Mine's kind of wonky, can I get a new one? Got a little--
24;LAURA;I'm sorry if they're misbalanced. I make them out of soap, so--
25;TRAVIS;Stone. Soap-stone.
26;MARISHA;Do you use Charlie to clean up the shavings?
27;TRAVIS;He's a good little worker.
